PI Name,Num Publications,PubMed Publication,PubMed Publication (keywords >= 5),PubMed Main Author Publications,Num Keywords,Main Branch Keywords,Main Author Keywords,Main Author Main Branch Keywords
Horacio Osiovich,7,6,3,4,39,39,39,39
Cheryl Peters,10,9,8,7,113,92,87,72
Denise Pugash,9,8,7,4,75,68,30,27
Meera Rayar,2,1,1,0,21,19,0,0
Christopher Reilly,5,4,3,3,45,40,45,40
Ashley Roberts,5,4,4,1,65,54,20,17
Sandesh Shivananda,14,13,10,5,126,110,66,60
Alfonso Solimano,5,4,4,1,55,49,6,6
Sylvia Stockler,17,16,13,6,197,174,67,60
Peter Tilley,11,10,8,6,116,105,60,58
Bruce A Vallance,26,25,24,16,333,318,216,208
John Wu,7,6,5,0,63,55,0,0
Margot I. Van Allen,16,16,13,3,198,175,36,30
Christine Alvarez,1,1,1,1,10,10,10,10
Michael Anglesio,20,20,18,8,242,223,97,88
Nicholas Au,2,2,2,1,30,27,13,12
Hamideh Bayrampour,10,10,9,8,134,112,89,75
Richard Beauchamp,1,1,1,1,25,21,25,21
C. Laird Birmingham,2,2,1,1,8,8,0,0
Sean Bristol,2,2,1,1,12,10,12,10
Raewyn Broady,16,16,14,4,216,194,52,46
Lindsay Brown,3,3,3,2,48,45,28,26
Carolyn Brown,6,6,6,5,76,66,55,47
Micah Burns,2,2,1,2,7,6,7,6
Sonia Butterworth,7,7,6,6,72,65,61,54
Mark Chilvers,12,12,8,7,96,88,49,47
Julian Christians,7,7,7,7,77,65,77,65
D. Douglas Cochrane,13,13,11,6,150,136,60,55
Anita Cote,5,5,3,3,61,55,61,55
Leanne Dahlgren,7,7,6,3,93,81,42,37
Michelle Demos,7,7,6,4,86,77,48,43
Jessica Dennis,4,4,4,3,65,54,51,43
Adele Diamond,4,4,3,4,40,35,40,35
Jan Peter Dutz,23,23,18,9,265,236,116,106
Mary H Ensom,25,25,18,25,174,164,174,164
Patrice Eydoux,5,5,3,0,50,46,0,0
Nichole Fairbrother,9,9,9,7,112,101,91,84
Kevin Farrell,1,1,1,0,15,13,0,0
Matthew Farrer,29,29,25,16,366,331,185,165
Liisa Galea,24,24,23,24,326,293,326,293
Jane Garland,1,1,1,0,9,9,0,0
Anne George,8,8,6,6,119,101,81,69
Ran D Goldman,42,42,32,40,358,323,358,323
Tim Green,33,33,30,26,502,433,422,364
Judith G Hall,9,9,7,8,69,52,52,38
Wendy Hall,17,17,15,13,174,144,151,123
Geoffrey L. Hammond,16,16,15,11,219,202,143,132
Gillian Hanley,22,22,17,18,211,183,168,145
Tal Jarus,12,12,12,11,160,127,145,119
Sunil Kalia,18,18,17,10,190,165,89,81
Michael C Klein,1,1,0,1,4,1,4,1
Sylvie Langlois,12,12,10,7,143,124,57,50
Bruce P. Lanphear,64,64,61,42,867,732,571,477
Charles Larson,14,14,11,8,168,141,82,69
Gillian Lauder,6,6,6,5,70,61,58,51
Scott Lear,48,48,43,22,652,522,260,212
James Lee,1,1,1,0,10,9,0,0
Kenneth I Lim,29,29,23,22,290,254,228,198
Christine Loock,3,3,3,1,47,39,14,12
Christine Loong,1,1,0,1,0,0,0,0
Elena Lopez-Rangel,1,1,1,0,13,11,0,0
Christopher Lyons,9,9,8,5,132,118,50,46
David MacDonald,8,8,5,8,53,50,53,50
John Mawson,1,1,1,0,18,17,0,0
Margaret L. McKinnon,12,12,12,3,166,146,33,28
Amori Yee Mikami,11,11,8,8,89,73,72,59
Steven P. Miller,48,48,41,31,545,476,379,326
Firoz Miyanji,17,17,16,6,223,191,99,85
Pablo Nepomnaschy,6,6,6,6,65,57,65,57
Catherine J Pallen,2,2,2,2,29,27,29,27
Sheila Pritchard,5,5,4,0,51,44,0,0
Wingfield Rehmus,1,1,1,1,13,11,13,11
Paul Rogers,8,8,7,5,103,89,57,48
Dan Rurak,1,1,1,0,15,13,0,0
Amy Salmon,1,1,1,0,9,8,0,0
Richard Schreiber,13,13,11,7,162,140,81,70
Christof Senger,3,3,3,0,34,32,0,0
Geoff Smith,9,9,8,0,122,101,0,0
Kiran K. Soma,16,16,15,14,191,172,161,142
Sooji Kim,2,2,1,1,15,14,0,0
